"2021-07-29 14:09:29.029089","root[root] @  [172.19.0.1]",8,1,"Query","SHOW FULL COLUMNS FROM `hub_catalago`.`Fornecedores`"
"2021-07-29 14:09:29.030920","root[root] @  [172.19.0.1]",8,1,"Query","SHOW FULL COLUMNS FROM `hub_catalago`.`Profissoes`"
"2021-07-29 14:09:45.956154","[root] @  [172.19.0.1]",21,1,"Connect","root@172.19.0.1 on  using SSL/TLS"
"2021-07-29 14:09:45.957852","root[root] @  [172.19.0.1]",21,1,"Query","set autocommit=1"
"2021-07-29 14:09:45.958909","root[root] @  [172.19.0.1]",21,1,"Query","SELECT current_user()"
"2021-07-29 14:09:45.959947","root[root] @  [172.19.0.1]",21,1,"Query","show character set where charset = 'utf8mb4'"
"2021-07-29 14:09:45.961162","root[root] @  [172.19.0.1]",21,1,"Query","SET NAMES 'utf8mb4'"
"2021-07-29 14:09:45.962554","root[root] @  [172.19.0.1]",21,1,"Query","SHOW VARIABLES"
"2021-07-29 14:09:45.968986","root[root] @  [172.19.0.1]",21,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:09:45.974421","root[root] @  [172.19.0.1]",21,1,"Query","SHOW PLUGINS"
"2021-07-29 14:09:45.995023","[root] @  [172.19.0.1]",22,1,"Connect","root@172.19.0.1 on  using SSL/TLS"
"2021-07-29 14:09:45.996633","root[root] @  [172.19.0.1]",22,1,"Query","set autocommit=1"
"2021-07-29 14:09:45.997590","root[root] @  [172.19.0.1]",22,1,"Query","SELECT current_user()"
"2021-07-29 14:09:45.998577","root[root] @  [172.19.0.1]",22,1,"Query","show character set where charset = 'utf8mb4'"
"2021-07-29 14:09:45.999793","root[root] @  [172.19.0.1]",22,1,"Query","SET NAMES 'utf8mb4'"
"2021-07-29 14:09:46.114738","root[root] @  [172.19.0.1]",21,1,"Query","DESCRIBE mysql.db"
"2021-07-29 14:09:46.117484","root[root] @  [172.19.0.1]",21,1,"Query","DESCRIBE mysql.user"
"2021-07-29 14:09:46.120062","root[root] @  [172.19.0.1]",21,1,"Query","SHOW DATABASES"
"2021-07-29 14:09:46.121959","root[root] @  [172.19.0.1]",21,1,"Query","SELECT User, Host FROM mysql.user ORDER BY User"
"2021-07-29 14:09:46.123548","root[root] @  [172.19.0.1]",21,1,"Query","SELECT d.User, d.Host, d.Db FROM mysql.db AS d LEFT JOIN mysql.user AS u ON d.User = u.user AND d.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.124906","root[root] @  [172.19.0.1]",21,1,"Query","SELECT t.User, t.Host, t.Db, t.Table_name FROM mysql.tables_priv AS t LEFT JOIN mysql.user AS u ON t.User = u.user AND t.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.126125","root[root] @  [172.19.0.1]",21,1,"Query","SELECT c.User, c.Host, c.Db, c.Table_name, c.Column_name FROM mysql.columns_priv AS c LEFT JOIN mysql.user AS u ON c.User = u.user AND c.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.127346","root[root] @  [172.19.0.1]",21,1,"Query","SELECT p.User, p.Host, p.Db, p.Routine_name, p.Routine_type FROM mysql.procs_priv AS p LEFT JOIN mysql.user AS u ON p.User = u.user AND p.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.128568","root[root] @  [172.19.0.1]",21,1,"Query","SHOW DATABASES"
"2021-07-29 14:09:46.129939","root[root] @  [172.19.0.1]",21,1,"Query","SELECT User, Host FROM mysql.user ORDER BY User"
"2021-07-29 14:09:46.131179","root[root] @  [172.19.0.1]",21,1,"Query","SELECT d.User, d.Host, d.Db FROM mysql.db AS d LEFT JOIN mysql.user AS u ON d.User = u.user AND d.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.132445","root[root] @  [172.19.0.1]",21,1,"Query","SELECT t.User, t.Host, t.Db, t.Table_name FROM mysql.tables_priv AS t LEFT JOIN mysql.user AS u ON t.User = u.user AND t.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.133741","root[root] @  [172.19.0.1]",21,1,"Query","SELECT c.User, c.Host, c.Db, c.Table_name, c.Column_name FROM mysql.columns_priv AS c LEFT JOIN mysql.user AS u ON c.User = u.user AND c.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.135057","root[root] @  [172.19.0.1]",21,1,"Query","SELECT p.User, p.Host, p.Db, p.Routine_name, p.Routine_type FROM mysql.procs_priv AS p LEFT JOIN mysql.user AS u ON p.User = u.user AND p.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.182974","root[root] @  [172.19.0.1]",21,1,"Query","SHOW DATABASES"
"2021-07-29 14:09:46.185240","root[root] @  [172.19.0.1]",21,1,"Query","SELECT User, Host FROM mysql.user ORDER BY User"
"2021-07-29 14:09:46.186840","root[root] @  [172.19.0.1]",21,1,"Query","SELECT d.User, d.Host, d.Db FROM mysql.db AS d LEFT JOIN mysql.user AS u ON d.User = u.user AND d.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.188225","root[root] @  [172.19.0.1]",21,1,"Query","SELECT t.User, t.Host, t.Db, t.Table_name FROM mysql.tables_priv AS t LEFT JOIN mysql.user AS u ON t.User = u.user AND t.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.189480","root[root] @  [172.19.0.1]",21,1,"Query","SELECT c.User, c.Host, c.Db, c.Table_name, c.Column_name FROM mysql.columns_priv AS c LEFT JOIN mysql.user AS u ON c.User = u.user AND c.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:46.190816","root[root] @  [172.19.0.1]",21,1,"Query","SELECT p.User, p.Host, p.Db, p.Routine_name, p.Routine_type FROM mysql.procs_priv AS p LEFT JOIN mysql.user AS u ON p.User = u.user AND p.Host = u.Host WHERE u.User IS NULL"
"2021-07-29 14:09:49.045553","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:09:52.059647","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:09:55.086638","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:09:58.100426","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:01.115232","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
"2021-07-29 14:10:04.135733","root[root] @  [172.19.0.1]",22,1,"Query","SHOW GLOBAL STATUS"
